,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2020-05-11,5,2020-05-11,13.606666666666666,15.026666666666667,66.2,906.86,211.46666666666667,2.3666666666666667,440.26666666666665,476.3333333333333,161.0
2020-05-12,5,2020-05-12,12.593333333333334,17.773333333333333,76.8,907.3466666666667,120.86666666666666,2.5,0.0,205.0,205.0
2020-05-13,5,2020-05-13,13.546666666666665,16.066666666666666,69.0,903.62,143.46666666666667,2.3800000000000003,199.93333333333334,352.6,221.2
2020-05-14,5,2020-05-14,11.78,17.833333333333332,78.6,904.9933333333333,59.6,2.5200000000000005,2.4,172.73333333333332,170.6
2020-05-15,5,2020-05-15,11.253333333333334,14.806666666666667,69.4,913.7466666666667,30.666666666666668,3.52,94.66666666666667,218.53333333333333,177.6
2020-05-16,5,2020-05-16,12.526666666666667,10.453333333333335,59.8,918.4133333333334,39.06666666666667,2.3,665.8666666666667,540.2,99.0
2020-05-17,5,2020-05-17,14.773333333333333,8.513333333333334,44.666666666666664,921.6333333333333,204.86666666666667,0.86,739.5333333333333,561.4,74.0
2020-05-18,5,2020-05-18,18.133333333333333,12.32,44.0,922.2066666666667,176.13333333333333,0.7866666666666667,719.2,555.7333333333333,76.53333333333333
2020-05-19,5,2020-05-19,19.493333333333332,15.440000000000001,44.86666666666667,920.3,213.0,1.2,566.4,523.0666666666667,107.06666666666666
2020-05-20,5,2020-05-20,21.553333333333335,11.613333333333333,42.13333333333333,917.6666666666666,238.0,1.2533333333333334,635.0,531.2666666666667,79.2
2020-05-21,5,2020-05-21,21.42,17.64,43.8,919.8866666666667,158.93333333333334,2.1866666666666665,673.8,547.2666666666667,81.06666666666666
2020-05-22,5,2020-05-22,21.966666666666665,19.706666666666667,51.4,922.18,193.8,2.493333333333333,681.1333333333333,547.1333333333333,90.06666666666666
2020-05-23,5,2020-05-23,17.21333333333333,21.259999999999998,70.33333333333333,926.2533333333334,61.86666666666667,2.2933333333333334,372.2,440.6666666666667,174.8
2020-05-24,5,2020-05-24,18.333333333333332,15.026666666666667,46.46666666666667,925.0066666666667,84.26666666666667,2.24,632.5333333333333,541.8666666666667,97.86666666666666
2020-05-25,5,2020-05-25,19.38125,20.51875,55.125,923.6625,61.875,1.83125,535.0625,482.9375,119.3125
2020-05-26,5,2020-05-26,18.79375,16.2375,43.5,924.68125,77.4375,3.8625000000000003,673.625,523.875,77.3125
2020-05-27,5,2020-05-27,20.74375,18.58125,48.625,923.4625,90.875,3.8125,596.0,510.875,98.5
2020-05-28,5,2020-05-28,21.68125,18.775,51.0,921.13125,152.625,1.3,567.875,508.6875,102.375
2020-05-29,5,2020-05-29,22.9625,16.85,46.0625,916.10625,90.25,1.3125,645.4375,525.375,87.4375
2020-05-30,5,2020-05-30,22.175,16.23125,41.5625,913.1375,129.0,1.125,528.875,495.3125,115.875
2020-05-31,5,2020-05-31,18.59375,23.2375,64.4375,911.29375,155.125,3.6625,108.5625,254.375,156.125
2020-06-01,6,2020-06-01,19.375,22.2875,63.3125,914.45,162.25,1.75625,532.625,499.9375,111.0
2020-06-02,6,2020-06-02,20.433333333333334,23.06,61.4,914.4133333333334,116.46666666666667,1.9933333333333332,297.06666666666666,431.8,188.66666666666666
2020-06-03,6,2020-06-03,18.6,24.33125,67.4375,909.1625,287.25,3.85,129.8125,312.6875,216.5625
2020-06-04,6,2020-06-04,13.48125,13.7375,61.6875,908.325,321.75,5.00625,400.8125,415.3125,175.1875
2020-06-05,6,2020-06-05,16.775,16.9,54.0625,911.95625,276.8125,2.31875,708.5625,536.0,66.125
2020-06-06,6,2020-06-06,16.68125,20.46875,66.5,908.89375,175.8125,2.84375,392.125,416.75,147.3125
2020-06-07,6,2020-06-07,11.8,13.51875,66.125,911.18125,16.8125,3.38125,65.1875,254.0625,203.4375
2020-06-08,6,2020-06-08,12.3125,11.65625,57.9375,916.125,265.9375,3.80625,443.3125,431.3125,176.875
2020-06-09,6,2020-06-09,13.10625,11.58125,56.125,917.55625,216.4375,1.9875,506.375,505.75,132.875
2020-06-10,6,2020-06-10,14.68,17.566666666666666,59.06666666666667,915.3133333333334,217.73333333333332,1.5,368.0,463.8,211.13333333333333
2020-06-11,6,2020-06-11,12.65,13.8,63.6875,905.85,273.75,7.925,531.0,493.375,129.1875
2020-06-12,6,2020-06-12,10.48125,14.23125,72.0,903.51875,252.75,6.23125,246.8125,331.8125,208.75
2020-06-13,6,2020-06-13,13.3875,16.1625,62.5,913.1125,264.625,5.41875,60.5,275.1875,231.0
2020-06-14,6,2020-06-14,14.24375,18.01875,59.5,917.96875,269.1875,4.16875,86.6875,320.8125,264.0625
2020-06-15,6,2020-06-15,14.88125,15.94375,60.75,919.65,280.75,4.31875,244.1875,401.9375,247.375
2020-06-16,6,2020-06-16,13.98125,17.05625,68.25,917.50625,272.9375,4.30625,375.0625,429.9375,129.9375
2020-06-17,6,2020-06-17,14.05625,16.05625,61.5625,915.65,223.8125,2.38125,177.875,333.75,235.3125
2020-06-18,6,2020-06-18,15.6875,13.6125,57.5,914.225,283.125,1.9875,398.4375,441.875,159.125
2020-06-19,6,2020-06-19,17.3125,17.381249999999998,53.8125,917.5875,275.9375,2.3875,652.0625,533.3125,84.625
2020-06-20,6,2020-06-20,19.45625,16.1625,53.0,920.59375,261.6875,2.14375,694.0625,539.5625,73.625
2020-06-21,6,2020-06-21,20.2,20.58125,56.0,922.83125,191.9375,2.19375,658.9375,529.0625,81.1875
2020-06-22,6,2020-06-22,21.89375,15.025,49.8125,922.09375,94.8125,2.2125,666.1875,538.0625,83.75
2020-06-23,6,2020-06-23,25.475,17.8125,37.0625,916.59375,128.5,1.90625,641.1875,531.875,83.9375
2020-06-24,6,2020-06-24,25.66875,24.55625,43.625,915.075,149.875,3.475,134.4375,291.6875,216.75
2020-06-25,6,2020-06-25,22.7625,23.00625,56.125,914.375,178.375,4.09375,370.875,442.0,165.6875
2020-06-26,6,2020-06-26,20.25625,18.4,54.4375,913.625,274.3125,3.0875,386.875,456.5625,177.4375
2020-06-27,6,2020-06-27,20.15,26.1875,59.5625,916.0,267.5625,4.00625,552.625,480.3125,132.1875
2020-06-28,6,2020-06-28,21.21875,24.05,58.1875,918.1375,261.625,2.64375,663.3125,527.125,76.8125
2020-06-29,6,2020-06-29,21.675,27.075,58.0625,917.725,118.125,1.30625,531.1875,503.4375,107.9375
2020-06-30,6,2020-06-30,23.575,23.275,46.75,913.56875,156.75,2.13125,514.375,487.75,109.9375
2020-07-01,7,2020-07-01,22.46875,16.9125,49.8125,913.3625,296.875,4.14375,690.9375,536.9375,71.75
2020-07-02,7,2020-07-02,18.11875,18.90625,58.9375,916.79375,231.0625,3.1625,478.75,485.0,162.375
2020-07-03,7,2020-07-03,17.2875,9.8375,48.75,920.975,91.875,1.1375,728.6875,549.0625,61.6875
2020-07-04,7,2020-07-04,21.5125,19.84375,47.375,922.3625,165.5625,1.51875,680.3125,524.6875,73.0
2020-07-05,7,2020-07-05,24.26875,28.38125,46.0,921.175,111.625,1.53125,651.8125,517.25,75.625
2020-07-06,7,2020-07-06,22.9125,25.7125,54.4375,920.09375,81.375,2.275,660.0625,521.4375,73.3125
2020-07-07,7,2020-07-07,24.44375,17.74375,40.5625,916.7375,155.9375,1.71875,672.625,528.125,73.875
2020-07-08,7,2020-07-08,24.346666666666668,20.9,43.06666666666667,914.8533333333332,113.93333333333334,3.94,282.46666666666664,387.73333333333335,158.8
2020-07-09,7,2020-07-09,25.02,23.946666666666665,46.93333333333333,916.8133333333334,53.733333333333334,2.8066666666666666,464.6666666666667,501.1333333333333,143.0
2020-07-10,7,2020-07-10,22.759999999999998,26.240000000000002,56.86666666666667,917.1,101.26666666666667,1.6733333333333333,497.4,509.53333333333336,142.8
